Individu,Date_voyage,Code_pays
Nixon,1972-01-01T00:00:00.000Z,POL
Ford,1975-01-01T00:00:00.000Z,POL
Carter,1977-01-01T00:00:00.000Z,POL
Bush,1989-01-01T00:00:00.000Z,POL
Clinton,1994-01-01T00:00:00.000Z,POL
Bush,2001-01-01T00:00:00.000Z,POL
Obama,2011-01-01T00:00:00.000Z,POL
Trump,2017-01-01T00:00:00.000Z,POL
Biden,2022-01-01T00:00:00.000Z,POL
Nixon,1969-01-01T00:00:00.000Z,ROU
Ford,1975-01-01T00:00:00.000Z,ROU
Clinton,1997-01-01T00:00:00.000Z,ROU
Bush,2002-01-01T00:00:00.000Z,ROU
Bush,1993-01-01T00:00:00.000Z,RUS
Clinton,1994-01-01T00:00:00.000Z,RUS
Bush,2002-01-01T00:00:00.000Z,RUS
Obama,2009-01-01T00:00:00.000Z,RUS
Bush,2005-01-01T00:00:00.000Z,SVK
Roosevelt,1945-01-01T00:00:00.000Z,RUS
Nixon,1972-01-01T00:00:00.000Z,RUS
Ford,1974-01-01T00:00:00.000Z,RUS
Reagan,1988-01-01T00:00:00.000Z,RUS
Bush,1991-01-01T00:00:00.000Z,RUS
Clinton,1994-01-01T00:00:00.000Z,UKR
Bush,2008-01-01T00:00:00.000Z,UKR
Biden,2023-01-01T00:00:00.000Z,UKR
Clinton,1997-01-01T00:00:00.000Z,DNK
Bush,2005-01-01T00:00:00.000Z,DNK
Obama,2009-01-01T00:00:00.000Z,DNK
Bush,2006-01-01T00:00:00.000Z,EST
Obama,2014-01-01T00:00:00.000Z,EST
Ford,1975-01-01T00:00:00.000Z,FIN
Reagan,1988-01-01T00:00:00.000Z,FIN
Bush,1990-01-01T00:00:00.000Z,FIN
Clinton,1997-01-01T00:00:00.000Z,FIN
Trump,2018-01-01T00:00:00.000Z,FIN
Biden,2023-01-01T00:00:00.000Z,FIN
Nixon,1973-01-01T00:00:00.000Z,ISL
Reagan,1986-01-01T00:00:00.000Z,ISL
Clinton,1994-01-01T00:00:00.000Z,LVA
Bush,2005-01-01T00:00:00.000Z,LVA
Bush,2002-01-01T00:00:00.000Z,LTU
Biden,2023-01-01T00:00:00.000Z,LTU
Clinton,1999-01-01T00:00:00.000Z,NOR
Obama,2009-01-01T00:00:00.000Z,NOR
Bush,2001-01-01T00:00:00.000Z,SWE
Obama,2013-01-01T00:00:00.000Z,SWE
Bush,2007-01-01T00:00:00.000Z,ALB
Clinton,1996-01-01T00:00:00.000Z,BIH
Clinton,1996-01-01T00:00:00.000Z,HRV
Bush,2008-01-01T00:00:00.000Z,HRV
Eisenhower,1959-01-01T00:00:00.000Z,GRC
Bush,1991-01-01T00:00:00.000Z,GRC
Clinton,1999-01-01T00:00:00.000Z,GRC
Obama,2016-01-01T00:00:00.000Z,GRC
Wilson,1919-01-01T00:00:00.000Z,ITA
Roosevelt,1943-01-01T00:00:00.000Z,ITA
Eisenhower,1959-01-01T00:00:00.000Z,ITA
Kennedy,1963-01-01T00:00:00.000Z,ITA
Johnson,1967-01-01T00:00:00.000Z,ITA
Nixon,1969-01-01T00:00:00.000Z,ITA
Ford,1975-01-01T00:00:00.000Z,ITA
Carter,1980-01-01T00:00:00.000Z,ITA
Reagan,1982-01-01T00:00:00.000Z,ITA
Bush,1989-01-01T00:00:00.000Z,ITA
Clinton,1994-01-01T00:00:00.000Z,ITA
Bush,2001-01-01T00:00:00.000Z,ITA
Obama,2009-01-01T00:00:00.000Z,ITA
Trump,2017-01-01T00:00:00.000Z,ITA
Biden,2021-01-01T00:00:00.000Z,ITA
Clinton,1999-01-01T00:00:00.000Z,XKX
Bush,2001-01-01T00:00:00.000Z,XKX
Clinton,1999-01-01T00:00:00.000Z,MKD
